"","sp","Freq","ID","Family","Genus","ScienceName"
"1","アオダモ",14,29451,"OLEACEAE","Fraxinus","Fraxinus lanuginosa Koidz.  f. serrata (Nakai) Murata"
"2","アオハダ",21,31984,"AQUIFOLIACEAE","Ilex","Ilex macropoda Miq."
"3","アカシデ",2,20391,"BETULACEAE","Carpinus","Carpinus laxiflora (Siebold et Zucc.) Blume"
"4","アサノハカエデ",3,22710,"SAPINDACEAE","Acer","Acer argutum Maxim."
"5","アスナロ",838,3692,"CUPRESSACEAE","Thujopsis","Thujopsis dolabrata (L.f.) Siebold et Zucc.  var. dolabrata"
"6","アセビ",1,26928,"ERICACEAE","Pieris","Pieris japonica (Thunb.) D.Don ex G.Don"
"7","アワブキ",3,14727,"SABIACEAE","Meliosma","Meliosma myriantha Siebold et Zucc."
"8","ウダイカンバ",20,20314,"BETULACEAE","Betula","Betula candelae Koidz."
"9","ウラジロノキ",2,17611,"ROSACEAE","Aria","Aria japonica Decne."
"10","ウワミズザクラ",8,18024,"ROSACEAE","Padus","Padus grayana (Maxim.) C.K.Schneid."
"11","エゴノキ",5,26643,"STYRACACEAE","Styrax","Styrax japonicus Siebold et Zucc."
"12","カツラ",7,14841,"CERCIDIPHYLLACEAE","Cercidiphyllum","Cercidiphyllum japonicum Siebold et Zucc. ex Hoffm. et Schult."
"13","カナクギノキ",1,4275,"LAURACEAE","Benzoin","Benzoin erythrocarpum (Makino) Rehder"
"14","キハダ",1,23133,"RUTACEAE","Phellodendron","Phellodendron amurense Rupr.  var. amurense"
"15","キブシ",1,15744,"STACHYURACEAE","Stachyurus","Stachyurus lancifolius Koidz."
"16","クマシデ",1,20388,"BETULACEAE","Carpinus","Carpinus japonica Blume"
"17","クリ",10,19952,"FAGACEAE","Castanea","Castanea crenata Siebold et Zucc."
"18","クロモジ",4,4372,"LAURACEAE","Lindera","Lindera umbellata Thunb.  var. umbellata"
"19","コシアブラ",12,35663,"ARALIACEAE","Acanthopanax","Acanthopanax sciadophylloides Franch. et Sav."
"20","コナラ",2,20107,"FAGACEAE","Quercus","Quercus glandulifera Blume"
"21","コハウチワカエデ",15,22886,"SAPINDACEAE","Acer","Acer sieboldianum Miq."
"22","コハクウンボク",11,26657,"STYRACACEAE","Styrax","Styrax shiraianus Makino"
"23","コミネカエデ",6,22773,"SAPINDACEAE","Acer","Acer micranthum Siebold et Zucc."
"24","サワグルミ",13,20237,"JUGLANDACEAE","Pterocarya","Pterocarya rhoifolia Siebold et Zucc."
"25","サワフタギ",1,26488,"SYMPLOCACEAE","Palura","Palura chinensis (Lour.) Koidz.  var. pilosa (Nakai) Nakai"
"26","サワラ",179,3576,"CUPRESSACEAE","Chamaecyparis","Chamaecyparis pisifera (Siebold et Zucc.) Endl."
"27","シロモジ",10,4365,"LAURACEAE","Lindera","Lindera triloba (Siebold et Zucc.) Blume"
"28","スギ",17,3588,"CUPRESSACEAE","Cryptomeria","Cryptomeria japonica (L.f.) D.Don"
"29","タムシバ",17,4191,"MAGNOLIACEAE","Magnolia","Magnolia salicifolia (Siebld et Zucc.) Maxim."
"30","ツリバナ",1,20523,"CELASTRACEAE","Euonymus","Euonymus oxyphyllus Miq."
"31","トチノキ",18,22914,"SAPINDACEAE","Aesculus","Aesculus turbinata Blume"
"32","ネジキ",5,26856,"ERICACEAE","Lyonia","Lyonia elliptica (Siebold et Zucc.) Okuyama"
"33","ノリウツギ",2,25634,"HYDRANGEACEAE","Heteromalla","Heteromalla paniculata (Siebold) H.Ohba et S.Akiyama"
"34","ハクウンボク",1,26656,"STYRACACEAE","Styrax","Styrax obassia Siebold et Zucc."
"35","ハリギリ",1,35734,"ARALIACEAE","Eleutherococcus","Eleutherococcus septemlobus (Thunb.) Mabb."
"36","ヒノキ",220,3562,"CUPRESSACEAE","Chamaecyparis","Chamaecyparis obtusa (Siebold et Zucc.) Endl."
"37","フサザクラ",3,13381,"EUPTELEACEAE","Euptelea","Euptelea polyandra Siebold et Zucc."
"38","ホオノキ",70,4177,"MAGNOLIACEAE","Magnolia","Magnolia hypoleuca Siebold et Zucc."
"39","マルバノキ",81,14810,"HAMAMELIDACEAE","Disanthus","Disanthus cercidifolius Maxim."
"40","ミズキ",18,25502,"CORNACEAE","Bothrocaryum","Bothrocaryum controversum (Hemsl. ex Prain) Pojark."
"41","ミズナラ",4,20093,"FAGACEAE","Quercus","Quercus crispula Blume  f. longifolia (Nakai) M.Kikuchi"
"42","ミズメ",69,20347,"BETULACEAE","Betula","Betula grossa Siebold et Zucc."
"43","ムラサキシキブ",1,30366,"LAMIACEAE","Callicarpa","Callicarpa japonica Thunb."
"44","ヤマナシ",1,18443,"ROSACEAE","Pyrus","Pyrus pyrifolia (Burm.f.) Nakai"
"45","リョウブ",85,26700,"CLETHRACEAE","Clethra","Clethra barbinervis Siebold et Zucc."
